Z	Symbol	Kesc	rel int	Ka	rel int	Ka1	rel int	Ka2	rel int	Kb	rel int	Kb1	rel int	Kb3	rel int	Kb2	rel int	Lesc	rel int	La	rel int	Lb1	rel int	Lb2	rel int	Lg1	rel int	Lg2	rel int	Lg3	rel int	Lg4	rel int	Ll	rel int	Ma esc	rel int	MZ	rel int	???	rel int	Ma1	rel int	Mb1	rel int	MG	rel int	MN	rel int	???	rel int
34	Se	9.47	0	11.21	100	11.22	100	11.181	52	12.501	100	12.495	21	12.272	6	12.651	1	0		1.379	111	1.419	59	0		0		0		0		0		0	6	0		0		0		0		0		0		0		0	0
35	Br	10.167	0	11.907	100	11.922	100	11.877	52	13.296	100	13.29	21	13.284	7	13.465	1	0		1.48	111	1.526	59	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
36	Kr	10.89	0	12.63	100	12.648	100	12.597	52	14.12	100	14.112	21	14.104	7	14.313	2	0		1.586	111	1.636	57	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
37	Rb	11.635	0	13.375	100	13.393	100	13.335	52	14.971	100	14.96	21	14.951	7	15.184	2	0		1.694	111	1.752	58	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
38	Sr	12.402	0	14.142	100	14.163	100	14.097	52	15.849	100	15.834	21	15.825	7	16.083	3	0.0660000000000001		1.806	111	1.871	58	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
39	Y	13.193	0	14.933	100	14.956	100	14.882	52	16.754	100	16.736	21	16.726	8	17.011	3	0.182		1.922	111	1.995	57	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
40	Zr	14.006	0	15.746	100	15.772	100	15.69	52	17.687	100	17.665	21	17.654	8	17.959	3	0.302		2.042	111	2.124	54	2.219	1	2.302	2	2.503		2.503		0		1.792	5	0		0		0		0		0		0		0		0	0
41	Nb	14.844	0	16.584	100	16.612	100	16.52	52	18.647	100	18.621	21	18.606	8	18.951	3	0.426		2.166	111	2.257	52	2.367	3	2.462	2	2.664		2.664		0		1.902	5	0		0		0		0		0		0		0		0	0
42	Mo	15.703	0	17.443	100	17.476	100	17.373	52	19.633	100	19.607	21	19.59	8	19.964	3	0.553		2.293	111	2.394	53	2.518	5	2.623	3	2.831		2.831		0		2.016	5	0		0		0		0		0		0		0		0	0
43	Tc	16.587	0	18.327	100	18.364	100	18.328	53	20.647	100	20.585	21	20.599	8	21.012	4	0.684		2.424	111	2.536	54	2.674	7	2.792	3	0		0		0		0	5	0		0		0		0		0		0		0		0	0
