0, 0, 4
7, 6, 28
21, 14, 56
41, 17, 90
63, 15, 114
86, 20, 125
106, 28, 129
128, 37, 130
148, 44, 128
171, 51, 124
192, 58, 118
214, 69, 108
232, 83, 98
244, 105, 92
250, 129, 95
253, 155, 107
254, 180, 123
254, 205, 144
253, 229, 167
252, 253, 191
